dataset_id,header
depistage_crc,refus_prt_echo1
depistage_crc,sexe
depistage_crc,﻿id_sequentiel
distances-kilometriques-nc,commune de depart
distances-kilometriques-nc,commune de destination
distances-kilometriques-nc,distance (km)
distances-kilometriques-nc,lieu de depart
distances-kilometriques-nc,lieu de destination
distances-kilometriques-nc,source
distances-kilometriques-nc,﻿ile
douanes-decisions-classement-tarifaire-d40,code td
douanes-decisions-classement-tarifaire-d40,date de délivrance
douanes-decisions-classement-tarifaire-d40,description
douanes-decisions-classement-tarifaire-d40,motivation
douanes-decisions-classement-tarifaire-d40,﻿numéro de décision
effectifs_eleves_par_college,appellation officielle
effectifs_eleves_par_college,commune
effectifs_eleves_par_college,dénomination principale
effectifs_eleves_par_college,geoloc
effectifs_eleves_par_college,nombre d'élèves en 3ème
effectifs_eleves_par_college,nombre d'élèves en 4ème
effectifs_eleves_par_college,nombre d'élèves en 5ème
effectifs_eleves_par_college,nombre d'élèves en 6ème
effectifs_eleves_par_college,nombre d'élèves segpa
effectifs_eleves_par_college,nombre d'élèves ulis
effectifs_eleves_par_college,nombre de filles en 3ème
effectifs_eleves_par_college,nombre de filles en 4ème
effectifs_eleves_par_college,nombre de filles en 5ème
effectifs_eleves_par_college,nombre de filles en 6ème
effectifs_eleves_par_college,nombre de garçons en 3ème
